Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
D1;0;Line;-11693.99;10093.86;-11693.99;10092.29;1.57
D1;0;Line;-11693.99;10092.29;-7560.11;10092.29;4133.88
D1;0;Line;-7560.11;10092.29;-7560.11;11431.65;1339.35
D1;0;Line;-7560.11;11431.65;-9096.85;11431.65;1536.74
D1;0;Line;-9096.85;11431.65;-11562.14;11431.65;2465.29
D1;0;Line;-11562.14;11431.65;-11699.91;11431.65;137.77
D1;0;Line;-11699.91;11431.65;-11699.91;11569.42;137.77
D1;0;Line;-11699.91;11569.42;-11699.91;14852.84;3283.42
D1;0;Line;-11699.91;14852.84;-8959.08;14852.84;2740.83
D1;0;Line;-8959.08;14852.84;-8959.08;11569.42;3283.42
D1;0;Line;-8959.08;11569.42;-8959.08;11452.05;117.37
D1;0;Line;-8959.08;11452.05;-7558.35;11452.05;1400.73
D1;0;Line;-7558.35;11452.05;-7558.35;16192.21;4740.16
D1;0;Line;-7558.35;16192.21;-13100.61;16192.21;5542.26
D1;0;Line;-13100.61;16192.21;-13100.61;10093.86;6098.35
D1;0;Line;-13100.61;10093.86;-11693.99;10093.86;1406.62
D2;0;Line;-7562.95;-2556.41;-8972.39;-2556.41;1409.44
D2;0;Line;-8972.39;-2556.41;-9097.90;-2556.41;125.51
D2;0;Line;-9097.90;-2556.41;-11703.62;-2556.41;2605.73
D2;0;Line;-11703.62;-2556.41;-11703.62;729.33;3285.74
D2;0;Line;-11703.62;729.33;-11703.62;867.14;137.82
D2;0;Line;-11703.62;867.14;-11691.03;867.10;12.59
D2;0;Line;-11691.03;867.10;-11565.85;867.10;125.18
D2;0;Line;-11565.85;867.10;-8960.13;867.10;2605.73
D2;0;Line;-8960.13;867.10;-8960.13;-2418.64;3285.74
D2;0;Line;-8960.13;-2418.64;-8960.13;-2534.03;115.39
D2;0;Line;-8960.13;-2534.03;-7562.66;-2534.03;1397.47
D2;0;Line;-7562.66;-2534.03;-7562.66;2203.64;4737.67
D2;0;Line;-7562.66;2203.64;-11690.59;2203.64;4127.93
D2;0;Line;-11690.59;2203.64;-13100.80;2203.64;1410.21
D2;0;Line;-13100.80;2203.64;-13100.80;-3892.41;6096.05
D2;0;Line;-13100.80;-3892.41;-8972.83;-3892.41;4127.97
D2;0;Line;-8972.83;-3892.41;-7562.95;-3892.41;1409.88
D2;0;Line;-7562.95;-3892.41;-7562.95;-2556.41;1336.00
FC;0;Line;-2749.45;2049.50;-2749.45;9224.00;7174.51
FC;0;Line;-2749.45;9224.00;-5248.73;9224.00;2499.28
FC;0;Line;-5248.73;9224.00;-5248.73;2049.50;7174.51
FC;0;Line;-5248.73;2049.50;-2749.45;2049.50;2499.28
CH;0;Line;4946.30;13145.70;3880.04;14992.85;2132.80
CH;0;Arc;3880.04;14992.85;1131.21;15596.22;2829.77
